variant_id,config_hash,result_path,order_id,date,symbol,quantity,price,status,time,last_fill_time,tag,type
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,1,2025-01-14,TSLA,9.0,415.36758,filled,1736865060.0,1736865060.0,decision_gap=0.0292&decision_vol=12.081&decision_tdist=0.0000&decision_rank=0,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,2,2025-01-14,NVDA,29.0,135.6027675,filled,1736865060.0,1736865060.0,decision_gap=0.0172&decision_vol=9.213&decision_tdist=0.0000&decision_rank=2,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,3,2025-01-14,AVGO,17.0,227.9006934,filled,1736865060.0,1736865060.0,decision_gap=0.0109&decision_vol=7.197&decision_tdist=0.0000&decision_rank=5,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,4,2025-01-14,AAPL,16.0,236.007945,filled,1736865060.0,1736865060.0,decision_gap=0.0064&decision_vol=6.100&decision_tdist=0.0000&decision_rank=4,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,5,2025-01-14,AMZN,18.0,220.105998,filled,1736865060.0,1736865060.0,decision_gap=0.0068&decision_vol=7.177&decision_tdist=0.0000&decision_rank=11,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,6,2025-01-14,AMD,33.0,118.53233655,filled,1736865060.0,1736865060.0,decision_gap=0.0096&decision_vol=6.900&decision_tdist=0.0000&decision_rank=12,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,7,2025-01-14,NFLX,4.0,843.2564175,filled,1736865060.0,1736865060.0,decision_gap=0.0030&decision_vol=3.026&decision_tdist=0.0000&decision_rank=26,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,8,2025-01-14,CRM,12.0,325.56780255,filled,1736865060.0,1736865060.0,decision_gap=0.0201&decision_vol=6.742&decision_tdist=0.0000&decision_rank=38,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,9,2025-01-14,JPM,16.0,243.9969375,filled,1736865060.0,1736865060.0,decision_gap=-0.0012&decision_vol=11.366&decision_tdist=0.0000&decision_rank=37,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,10,2025-01-14,V,13.0,307.73379,filled,1736865060.0,1736865060.0,decision_gap=0.0025&decision_vol=3.581&decision_tdist=0.0000&decision_rank=42,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,11,2025-01-14,ORCL,25.0,155.65028625,filled,1736865060.0,1736865060.0,decision_gap=0.0109&decision_vol=3.790&decision_tdist=0.0000&decision_rank=63,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,12,2025-01-14,HD,10.0,390.5301675,filled,1736865060.0,1736865060.0,decision_gap=0.0030&decision_vol=3.064&decision_tdist=0.0000&decision_rank=64,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,13,2025-01-14,MA,7.0,504.642195,filled,1736865060.0,1736865060.0,decision_gap=-0.0012&decision_vol=5.310&decision_tdist=0.0000&decision_rank=70,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,14,2025-01-14,MRK,39.0,100.5552525,filled,1736865060.0,1736865060.0,decision_gap=-0.0046&decision_vol=5.933&decision_tdist=0.0000&decision_rank=106,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,15,2025-01-14,MSFT,9.0,418.72926,filled,1736865360.0,1736865360.0,decision_gap=0.0031&decision_vol=1.954&decision_tdist=0.0000&decision_rank=9,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,16,2025-01-14,GOOGL,20.0,191.45568,filled,1736865360.0,1736865360.0,decision_gap=0.0018&decision_vol=2.563&decision_tdist=0.0000&decision_rank=14,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,17,2025-01-14,PG,24.0,159.5847525,filled,1736870460.0,1736870460.0,decision_gap=0.0041&decision_vol=4.447&decision_tdist=0.0000&decision_rank=93,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,18,2025-01-14,UNH,7.0,544.6371825,filled,1736887860.0,1736887860.0,decision_gap=0.0053&decision_vol=8.229&decision_tdist=0.0000&decision_rank=20,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,19,2025-01-15,META,6.0,610.1049,filled,1736951460.0,1736951460.0,decision_gap=0.0258&decision_vol=10.374&decision_tdist=0.0000&decision_rank=9,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,20,2025-01-15,LLY,5.0,745.582605,filled,1736951460.0,1736951460.0,decision_gap=0.0010&decision_vol=7.684&decision_tdist=0.0000&decision_rank=25,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,21,2025-01-15,COST,4.0,928.0788075,filled,1736951460.0,1736951460.0,decision_gap=0.0109&decision_vol=6.651&decision_tdist=0.0000&decision_rank=37,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,22,2025-01-15,XOM,36.0,110.625285,filled,1736951460.0,1736951460.0,decision_gap=0.0081&decision_vol=4.949&decision_tdist=0.0000&decision_rank=46,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,23,2025-01-16,ABBV,23.0,172.2210675,filled,1737042960.0,1737042960.0,decision_gap=0.0048&decision_vol=4.011&decision_tdist=0.0000&decision_rank=120,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,24,2025-01-21,JPM,-16.0,259.939895,filled,1737469860.0,1737469860.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,25,2025-01-21,JPM,15.0,261.220545,filled,1737470460.0,1737470460.0,decision_gap=0.0065&decision_vol=1.331&decision_tdist=0.0000&decision_rank=28,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,26,2025-01-22,HD,-10.0,417.3422809,filled,1737556260.0,1737556260.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,27,2025-01-22,ORCL,-25.0,191.417255,filled,1737556260.0,1737556260.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,28,2025-01-22,ORCL,22.0,185.582745,filled,1737556260.0,1737556260.0,decision_gap=0.0744&decision_vol=13.304&decision_tdist=0.0000&decision_rank=53,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,29,2025-01-23,AMZN,-18.0,233.98366,filled,1737642660.0,1737642660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,30,2025-01-23,MSFT,-9.0,441.77867,filled,1737642660.0,1737642660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,31,2025-01-23,NFLX,-4.0,957.3250925,filled,1737642660.0,1737642660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,32,2025-01-23,NVDA,-29.0,144.977705,filled,1737642660.0,1737642660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,33,2025-01-23,NFLX,4.0,970.2999075,filled,1737642660.0,1737642660.0,decision_gap=0.0169&decision_vol=8.957&decision_tdist=0.0000&decision_rank=17,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,34,2025-01-23,HD,10.0,411.9808875,filled,1737648060.0,1737648060.0,decision_gap=0.0042&decision_vol=3.938&decision_tdist=0.0000&decision_rank=67,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,35,2025-01-24,V,-13.0,327.855895,filled,1737729060.0,1737729060.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,36,2025-01-24,NVDA,28.0,147.863895,filled,1737729060.0,1737729060.0,decision_gap=0.0039&decision_vol=8.714&decision_tdist=0.0000&decision_rank=1,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,37,2025-01-24,V,12.0,329.954895,filled,1737730860.0,1737730860.0,decision_gap=0.0051&decision_vol=3.847&decision_tdist=0.0000&decision_rank=43,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,38,2025-01-27,AVGO,-17.0,213.292005,filled,1737988260.0,1737988260.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,39,2025-01-27,META,-6.0,626.2936425,filled,1737988260.0,1737988260.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,40,2025-01-27,META,6.0,651.175425,filled,1737991560.0,1737991560.0,decision_gap=0.0053&decision_vol=6.085&decision_tdist=0.0000&decision_rank=6,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,41,2025-01-28,AMD,-33.0,115.117765,filled,1738074660.0,1738074660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,42,2025-01-28,CRM,-12.0,354.592105,filled,1738074660.0,1738074660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,43,2025-01-28,GOOGL,-20.0,192.64874,filled,1738074660.0,1738074660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,44,2025-01-28,LLY,-5.0,806.834545,filled,1738074660.0,1738074660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,45,2025-01-28,MA,-7.0,546.2674,filled,1738074660.0,1738074660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,46,2025-01-28,PG,-24.0,168.825435,filled,1738074660.0,1738074660.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,47,2025-01-28,AVGO,20.0,203.1015,filled,1738074660.0,1738074660.0,decision_gap=0.0039&decision_vol=6.642&decision_tdist=0.0000&decision_rank=10,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,48,2025-01-28,AMD,35.0,114.527235,filled,1738074660.0,1738074660.0,decision_gap=-0.0051&decision_vol=7.011&decision_tdist=0.0000&decision_rank=12,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,49,2025-01-28,GOOGL,21.0,192.61626,filled,1738074660.0,1738074660.0,decision_gap=0.0037&decision_vol=5.607&decision_tdist=0.0000&decision_rank=14,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,50,2025-01-28,CRM,11.0,355.967895,filled,1738074660.0,1738074660.0,decision_gap=0.0248&decision_vol=7.628&decision_tdist=0.0000&decision_rank=36,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,51,2025-01-28,LLY,5.0,812.66613,filled,1738074960.0,1738074960.0,decision_gap=0.0044&decision_vol=1.703&decision_tdist=0.0000&decision_rank=21,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,52,2025-01-28,AMZN,17.0,237.03846,filled,1738075860.0,1738075860.0,decision_gap=0.0063&decision_vol=6.321&decision_tdist=0.0000&decision_rank=8,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,53,2025-01-28,MSFT,9.0,437.16577365,filled,1738076460.0,1738076460.0,decision_gap=0.0055&decision_vol=4.356&decision_tdist=0.0000&decision_rank=7,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,54,2025-01-28,MA,7.0,550.77525,filled,1738079460.0,1738079460.0,decision_gap=0.0046&decision_vol=6.083&decision_tdist=0.0000&decision_rank=77,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,55,2025-01-29,AMD,-35.0,115.7121775,filled,1738161060.0,1738161060.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,56,2025-01-29,AMD,35.0,115.7028225,filled,1738161060.0,1738161060.0,decision_gap=0.0130&decision_vol=5.927&decision_tdist=0.0000&decision_rank=12,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,57,2025-01-29,PG,24.0,167.2439802,filled,1738161060.0,1738161060.0,decision_gap=0.0058&decision_vol=4.479&decision_tdist=0.0000&decision_rank=91,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,58,2025-01-30,AMD,-35.0,118.47007505,filled,1738247460.0,1738247460.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,59,2025-01-30,AMD,34.0,119.90982495,filled,1738247460.0,1738247460.0,decision_gap=0.0208&decision_vol=9.207&decision_tdist=0.0000&decision_rank=12,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,60,2025-01-31,AVGO,-20.0,219.5501725,filled,1738333860.0,1738333860.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,61,2025-01-31,AVGO,19.0,219.7648275,filled,1738333860.0,1738333860.0,decision_gap=0.0185&decision_vol=6.815&decision_tdist=0.0000&decision_rank=9,
