variant_id,family,ret_pct,dd_pct,orders,buy_orders,closed_trades,open_trades,closed_win_rate,closed_loser_count,net_profit_est,closed_realized_pnl,implied_open_pnl,avg_closed_pnl,median_closed_pnl,avg_mfe,avg_mae,avg_duration_days,avg_decision_rank,avg_decision_gap,avg_decision_vol,worst_symbol,worst_pnl,worst_mfe,worst_mae,best_mfe_symbol,best_mfe,entry_symbols,open_symbols
entry_gapvol_base,entry_confirmation,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
entry_gapvol_vol125,entry_confirmation,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
entry_gapvol_vol150,entry_confirmation,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_kijun_phase3_base,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_cloud_adherence,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_weekly_kijun,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_proactive_target_06,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_proactive_giveback_tight,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_scratch_flat_3d,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
industry_top3_focus,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
industry_top8_broad,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
industry_bct_share_heavy,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
industry_proxy_off,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
industry_proxy_boost,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_3_ttl5,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_5_ttl10,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_10_ttl10,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_15_ttl20,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_liquid_strict,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_price_loose,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
attention_ticker_heavy,george_attention,27.197,20.2,74,37,21,16,0.000,21,27197.00,-17032.02,44229.02,-811.049,-673.710,504.861,-837.338,74.995,404.297,0.044,8.426,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BJ BKR BSX BTI C CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NTES NXT PAAS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NTES NXT PAAS RBLX RUN SPOT URBN
industry_attention_boost,industry_warmup,26.343,20.2,74,37,21,16,0.000,21,26343.00,-17699.39,44042.39,-842.828,-722.910,501.153,-869.574,74.795,405.811,0.045,8.310,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NTES NXT PAAS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NTES NXT PAAS RBLX RUN SPOT URBN
attention_ticker_light,george_attention,26.343,20.2,74,37,21,16,0.000,21,26343.00,-17699.39,44042.39,-842.828,-722.910,501.153,-869.574,74.795,405.811,0.045,8.310,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NTES NXT PAAS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NTES NXT PAAS RBLX RUN SPOT URBN
attention_ticker_base,george_attention,26.343,20.2,74,37,21,16,0.000,21,26343.00,-17699.39,44042.39,-842.828,-722.910,501.153,-869.574,74.795,405.811,0.045,8.310,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NTES NXT PAAS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NTES NXT PAAS RBLX RUN SPOT URBN
attention_industry_heavy,george_attention,26.343,20.2,74,37,21,16,0.000,21,26343.00,-17699.39,44042.39,-842.828,-722.910,501.153,-869.574,74.795,405.811,0.045,8.310,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NTES NXT PAAS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NTES NXT PAAS RBLX RUN SPOT URBN
attention_with_watchlist,george_attention,26.343,20.2,74,37,21,16,0.000,21,26343.00,-17699.39,44042.39,-842.828,-722.910,501.153,-869.574,74.795,405.811,0.045,8.310,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NTES NXT PAAS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NTES NXT PAAS RBLX RUN SPOT URBN
attention_floor_05,george_attention,22.241,19.9,72,36,19,17,0.000,19,22241.00,-13340.07,35581.07,-702.109,-560.580,533.086,-730.410,73.213,355.083,0.042,8.326,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,AIG AR ARM ATI AU BJ BKR BSX BTI C CCJ CEG EBAY EQT GLW HAS HOOD HPE KLAC LNG META MP MRVL NEM NOC NRG NU NXT RBLX SAP SATS SHOP SPOT TSM UAL VST,AIG ARM ATI AU BTI CCJ EQT GLW HAS HOOD KLAC NEM NU NXT RBLX SATS SPOT
entry_gapvol_window60,entry_confirmation,18.652,23.0,76,38,22,16,0.000,22,18652.00,-18650.53,37302.53,-847.751,-726.100,584.246,-870.975,72.966,370.579,0.042,7.740,MRVL,-1805.770,428.040,-1888.260,NET,2501.990,ACHR AIG AR ATI AU BCS BITX BJ BSX BTI CEG EBAY EZU GLW GOOG GOOGL HOOD HPE IBIT KLAC META MP MRVL NEM NET NTES NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KLAC NEM NTES NXT PAAS QBTS RBLX RUN SPOT URBN
entry_gapvol_gap04,entry_confirmation,11.952,22.6,78,39,25,14,0.000,25,11952.00,-26161.32,38113.32,-1046.453,-719.640,569.379,-1063.848,81.916,374.949,0.052,8.054,NFLX,-4239.150,1910.880,-4239.150,NFLX,1910.880,ACHR AR ARM ATI AU BITX BSX BTI C CEG EAT EBAY FIX HOOD HPE ILMN KGC KLAC LNG META MP MS NEM NFLX NOC NRG NXT OSCR PAAS QBTS RTX SHOP SMR TSM UAL URA URBN USO VST,ARM ATI AU BTI HOOD ILMN KGC KLAC NEM NXT PAAS QBTS URA URBN
entry_gapvol_gap05,entry_confirmation,0.018,22.4,78,39,24,15,0.000,24,18.00,-28238.51,28256.51,-1176.605,-834.370,509.223,-1191.367,76.440,416.718,0.066,8.677,NFLX,-4239.150,1910.880,-4239.150,NFLX,1910.880,ABVX ACHR ARM ATI AU BABA BITX C COHR CONL CRS CRWD DKNG DOV EAT EBAY GE GGLL KGC LEU LNG MP NEM NFLX NRG OSCR PAAS RIOT RTX SBUX SMR TSM U UBER URA USO VFC VST XPEV,ABVX ARM ATI AU BABA COHR GGLL KGC LEU NEM PAAS RIOT U URA XPEV
