cell_id,cell_label,deployability_class,allowed_sources,feature_count,variant,rows,median_daily,seen_hits,seen_recall_pct,median_george_rank,map_seen_pct,hits5,recall5_pct,precision5_pct,ndcg5_seen_pct,hits10,recall10_pct,precision10_pct,ndcg10_seen_pct,hits20,recall20_pct,precision20_pct,ndcg20_seen_pct,hits50,recall50_pct,precision50_pct,ndcg50_seen_pct,hits100,recall100_pct,precision100_pct,ndcg100_seen_pct
raw_plus_sector_breadth,Raw QC-safe plus sector/industry breadth,qc_cloud_deployable,raw_qc_safe+sector_breadth,78,score7_or_clean6__clean_chart_simple,30289,589.0,242,79.08,192.5,2.48,4,1.31,1.74,1.31,6,1.96,1.3,1.41,12,3.92,1.3,2.19,38,12.42,1.65,5.49,71,23.2,1.54,8.56
raw_plus_sector_breadth,Raw QC-safe plus sector/industry breadth,qc_cloud_deployable,raw_qc_safe+sector_breadth,78,clean_top2000__clean_chart_simple,15517,286.5,216,70.59,106.0,3.28,3,0.98,1.3,0.98,5,1.63,1.09,1.13,16,5.23,1.74,2.89,44,14.38,1.91,6.75,103,33.66,2.24,14.01
raw_plus_sector_breadth,Raw QC-safe plus sector/industry breadth,qc_cloud_deployable,raw_qc_safe+sector_breadth,78,pullback_top2000__clean_chart_simple,14221,263.0,185,60.46,96.0,3.87,3,0.98,1.3,1.17,5,1.63,1.09,1.73,17,5.56,1.85,4.05,44,14.38,1.91,8.24,96,31.37,2.1,16.38
raw_plus_sector_breadth,Raw QC-safe plus sector/industry breadth,qc_cloud_deployable,raw_qc_safe+sector_breadth,78,base__qc_fixed_proxy,47493,1094.0,281,91.83,274.0,1.61,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.65,0.22,0.28,25,8.17,1.09,2.44,60,19.61,1.3,5.72
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,lambdamart_sector_context_denominator_ranks_all,47493,1094.0,281,91.83,20.0,31.46,70,22.88,30.43,39.72,102,33.33,22.17,38.67,142,46.41,15.43,42.64,196,64.05,8.52,49.35,228,74.51,4.96,52.68
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,lambdamart_sector_context_denominator_ranks_clean_top2000,15517,286.5,216,70.59,13.0,39.37,66,21.57,28.7,44.21,99,32.35,21.52,46.02,136,44.44,14.78,51.65,183,59.8,7.96,58.65,200,65.36,4.35,60.57
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,lambdamart_sector_context_denominator_ranks_score7_or_clean6,30289,589.0,242,79.08,15.5,33.16,67,21.9,29.13,39.54,98,32.03,21.3,39.81,139,45.42,15.11,45.36,188,61.44,8.17,52.27,210,68.63,4.57,54.59
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,clean_top2000__daily_structure_rank,15517,286.5,216,70.59,70.0,8.34,15,4.9,6.52,7.14,26,8.5,5.65,7.95,43,14.05,4.67,12.12,84,27.45,3.65,18.71,138,45.1,3.0,25.4
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,pullback_top2000__daily_structure_rank,14221,263.0,185,60.46,68.0,7.98,10,3.27,4.35,5.94,21,6.86,4.57,8.29,36,11.76,3.91,11.19,70,22.88,3.04,18.49,112,36.6,2.45,24.64
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,base__daily_structure_rank,47493,1094.0,281,91.83,126.0,4.92,11,3.59,4.78,4.1,20,6.54,4.35,4.6,35,11.44,3.8,6.84,69,22.55,3.0,11.3,125,40.85,2.72,17.19
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,score7_or_clean6__daily_structure_rank,30289,589.0,242,79.08,97.5,5.43,11,3.59,4.78,4.16,20,6.54,4.35,4.84,36,11.76,3.91,7.74,71,23.2,3.09,12.7,123,40.2,2.67,18.7
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,base__clean_chart_simple,47493,1094.0,281,91.83,243.0,2.25,4,1.31,1.74,1.21,6,1.96,1.3,1.25,12,3.92,1.3,1.98,38,12.42,1.65,4.92,71,23.2,1.54,7.78
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,score7_or_clean6__clean_chart_simple,30289,589.0,242,79.08,192.5,2.48,4,1.31,1.74,1.31,6,1.96,1.3,1.41,12,3.92,1.3,2.19,38,12.42,1.65,5.49,71,23.2,1.54,8.56
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,clean_top2000__clean_chart_simple,15517,286.5,216,70.59,106.0,3.28,3,0.98,1.3,0.98,5,1.63,1.09,1.13,16,5.23,1.74,2.89,44,14.38,1.91,6.75,103,33.66,2.24,14.01
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,pullback_top2000__clean_chart_simple,14221,263.0,185,60.46,96.0,3.87,3,0.98,1.3,1.17,5,1.63,1.09,1.73,17,5.56,1.85,4.05,44,14.38,1.91,8.24,96,31.37,2.1,16.38
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,base__qc_fixed_proxy,47493,1094.0,281,91.83,274.0,1.61,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.65,0.22,0.28,25,8.17,1.09,2.44,60,19.61,1.3,5.72
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,lambdamart_denominator_ranks_sector_breadth_all,47493,1094.0,281,91.83,21.0,31.8,71,23.2,30.87,39.92,102,33.33,22.17,38.59,138,45.1,15.0,42.49,190,62.09,8.26,49.18,225,73.53,4.89,52.58
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,lambdamart_denominator_ranks_sector_breadth_score7_or_clean6,30289,589.0,242,79.08,15.5,33.25,69,22.55,30.0,39.0,98,32.03,21.3,39.71,135,44.12,14.67,44.6,184,60.13,8.0,51.75,205,66.99,4.46,53.91
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,lambdamart_denominator_ranks_sector_breadth_clean_top2000,15517,286.5,216,70.59,13.0,39.21,68,22.22,29.57,44.05,95,31.05,20.65,44.71,143,46.73,15.54,52.23,177,57.84,7.7,57.6,198,64.71,4.3,60.14
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,clean_top2000__daily_structure_rank,15517,286.5,216,70.59,70.0,8.34,15,4.9,6.52,7.14,26,8.5,5.65,7.95,43,14.05,4.67,12.12,84,27.45,3.65,18.71,138,45.1,3.0,25.4
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,pullback_top2000__daily_structure_rank,14221,263.0,185,60.46,68.0,7.98,10,3.27,4.35,5.94,21,6.86,4.57,8.29,36,11.76,3.91,11.19,70,22.88,3.04,18.49,112,36.6,2.45,24.64
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,base__daily_structure_rank,47493,1094.0,281,91.83,126.0,4.92,11,3.59,4.78,4.1,20,6.54,4.35,4.6,35,11.44,3.8,6.84,69,22.55,3.0,11.3,125,40.85,2.72,17.19
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,score7_or_clean6__daily_structure_rank,30289,589.0,242,79.08,97.5,5.43,11,3.59,4.78,4.16,20,6.54,4.35,4.84,36,11.76,3.91,7.74,71,23.2,3.09,12.7,123,40.2,2.67,18.7
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,base__clean_chart_simple,47493,1094.0,281,91.83,243.0,2.25,4,1.31,1.74,1.21,6,1.96,1.3,1.25,12,3.92,1.3,1.98,38,12.42,1.65,4.92,71,23.2,1.54,7.78
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,score7_or_clean6__clean_chart_simple,30289,589.0,242,79.08,192.5,2.48,4,1.31,1.74,1.31,6,1.96,1.3,1.41,12,3.92,1.3,2.19,38,12.42,1.65,5.49,71,23.2,1.54,8.56
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,clean_top2000__clean_chart_simple,15517,286.5,216,70.59,106.0,3.28,3,0.98,1.3,0.98,5,1.63,1.09,1.13,16,5.23,1.74,2.89,44,14.38,1.91,6.75,103,33.66,2.24,14.01
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,pullback_top2000__clean_chart_simple,14221,263.0,185,60.46,96.0,3.87,3,0.98,1.3,1.17,5,1.63,1.09,1.73,17,5.56,1.85,4.05,44,14.38,1.91,8.24,96,31.37,2.1,16.38
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,base__qc_fixed_proxy,47493,1094.0,281,91.83,274.0,1.61,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.65,0.22,0.28,25,8.17,1.09,2.44,60,19.61,1.3,5.72
full_research_reference,Full current research feature set,research_only_reference,all_research,149,lambdamart_sector_context_denominator_ranks_sector_breadth_all,47493,1094.0,281,91.83,20.0,29.8,69,22.55,30.0,36.18,107,34.97,23.26,37.65,143,46.73,15.54,42.24,195,63.73,8.48,48.23,231,75.49,5.02,51.41
full_research_reference,Full current research feature set,research_only_reference,all_research,149,lambdamart_sector_context_denominator_ranks_sector_breadth_score7_or_clean6,30289,589.0,242,79.08,15.0,31.88,68,22.22,29.57,36.88,103,33.66,22.39,39.06,138,45.1,15.0,44.91,190,62.09,8.26,50.93,212,69.28,4.61,53.43
full_research_reference,Full current research feature set,research_only_reference,all_research,149,lambdamart_sector_context_denominator_ranks_sector_breadth_clean_top2000,15517,286.5,216,70.59,13.0,37.44,69,22.55,30.0,42.89,100,32.68,21.74,44.47,140,45.75,15.22,51.28,186,60.78,8.09,57.61,202,66.01,4.39,59.16
full_research_reference,Full current research feature set,research_only_reference,all_research,149,clean_top2000__daily_structure_rank,15517,286.5,216,70.59,70.0,8.34,15,4.9,6.52,7.14,26,8.5,5.65,7.95,43,14.05,4.67,12.12,84,27.45,3.65,18.71,138,45.1,3.0,25.4
full_research_reference,Full current research feature set,research_only_reference,all_research,149,pullback_top2000__daily_structure_rank,14221,263.0,185,60.46,68.0,7.98,10,3.27,4.35,5.94,21,6.86,4.57,8.29,36,11.76,3.91,11.19,70,22.88,3.04,18.49,112,36.6,2.45,24.64
full_research_reference,Full current research feature set,research_only_reference,all_research,149,base__daily_structure_rank,47493,1094.0,281,91.83,126.0,4.92,11,3.59,4.78,4.1,20,6.54,4.35,4.6,35,11.44,3.8,6.84,69,22.55,3.0,11.3,125,40.85,2.72,17.19
full_research_reference,Full current research feature set,research_only_reference,all_research,149,score7_or_clean6__daily_structure_rank,30289,589.0,242,79.08,97.5,5.43,11,3.59,4.78,4.16,20,6.54,4.35,4.84,36,11.76,3.91,7.74,71,23.2,3.09,12.7,123,40.2,2.67,18.7
full_research_reference,Full current research feature set,research_only_reference,all_research,149,base__clean_chart_simple,47493,1094.0,281,91.83,243.0,2.25,4,1.31,1.74,1.21,6,1.96,1.3,1.25,12,3.92,1.3,1.98,38,12.42,1.65,4.92,71,23.2,1.54,7.78
full_research_reference,Full current research feature set,research_only_reference,all_research,149,score7_or_clean6__clean_chart_simple,30289,589.0,242,79.08,192.5,2.48,4,1.31,1.74,1.31,6,1.96,1.3,1.41,12,3.92,1.3,2.19,38,12.42,1.65,5.49,71,23.2,1.54,8.56
full_research_reference,Full current research feature set,research_only_reference,all_research,149,clean_top2000__clean_chart_simple,15517,286.5,216,70.59,106.0,3.28,3,0.98,1.3,0.98,5,1.63,1.09,1.13,16,5.23,1.74,2.89,44,14.38,1.91,6.75,103,33.66,2.24,14.01
full_research_reference,Full current research feature set,research_only_reference,all_research,149,pullback_top2000__clean_chart_simple,14221,263.0,185,60.46,96.0,3.87,3,0.98,1.3,1.17,5,1.63,1.09,1.73,17,5.56,1.85,4.05,44,14.38,1.91,8.24,96,31.37,2.1,16.38
full_research_reference,Full current research feature set,research_only_reference,all_research,149,base__qc_fixed_proxy,47493,1094.0,281,91.83,274.0,1.61,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.65,0.22,0.28,25,8.17,1.09,2.44,60,19.61,1.3,5.72
